algorithm,machine,size,variant,metric,value
avx2,zen4,1200,ours-avx2,core_cycles_per_byte,1.32517458
avx2,zen4,1200,ours-avx2,instructions_per_byte,5.78917114
avx2,zen4,1200,ours-avx2,tsc_ticks_per_byte,1.08355220
avx2,zen4,1200,openssl-avx2,core_cycles_per_byte,1.42341595
avx2,zen4,1200,openssl-avx2,instructions_per_byte,4.31333855
avx2,zen4,1200,openssl-avx2,tsc_ticks_per_byte,1.28261325
avx2,zen4,1200,boringssl-avx2,core_cycles_per_byte,1.44345672
avx2,zen4,1200,boringssl-avx2,instructions_per_byte,4.29667206
avx2,zen4,1200,boringssl-avx2,tsc_ticks_per_byte,1.31905789
avx2,zen4,1200,intel-avx2,core_cycles_per_byte,1.32326941
avx2,zen4,1200,intel-avx2,instructions_per_byte,3.32000378
avx2,zen4,1200,intel-avx2,tsc_ticks_per_byte,1.05312561
avx2,zen4,1220,ours-avx2,core_cycles_per_byte,1.34928321
avx2,zen4,1220,ours-avx2,instructions_per_byte,3.99672641
avx2,zen4,1220,ours-avx2,tsc_ticks_per_byte,1.26093577
avx2,zen4,1220,openssl-avx2,core_cycles_per_byte,1.33862765
avx2,zen4,1220,openssl-avx2,instructions_per_byte,3.99180820
avx2,zen4,1220,openssl-avx2,tsc_ticks_per_byte,1.12496950
avx2,zen4,1220,boringssl-avx2,core_cycles_per_byte,1.33622040
avx2,zen4,1220,boringssl-avx2,instructions_per_byte,3.97541484
avx2,zen4,1220,boringssl-avx2,tsc_ticks_per_byte,1.08710048
avx2,zen4,1220,intel-avx2,core_cycles_per_byte,1.30083943
avx2,zen4,1220,intel-avx2,instructions_per_byte,3.25902054
avx2,zen4,1220,intel-avx2,tsc_ticks_per_byte,1.10495117
avx2,zen4,1240,ours-avx2,core_cycles_per_byte,1.33600637
avx2,zen4,1240,ours-avx2,instructions_per_byte,4.04516475
avx2,zen4,1240,ours-avx2,tsc_ticks_per_byte,1.15776196
avx2,zen4,1240,openssl-avx2,core_cycles_per_byte,1.32971476
avx2,zen4,1240,openssl-avx2,instructions_per_byte,4.04032565
avx2,zen4,1240,openssl-avx2,tsc_ticks_per_byte,1.06563962
avx2,zen4,1240,boringssl-avx2,core_cycles_per_byte,1.33703008
avx2,zen4,1240,boringssl-avx2,instructions_per_byte,4.02419718
avx2,zen4,1240,boringssl-avx2,tsc_ticks_per_byte,1.11923241
avx2,zen4,1240,intel-avx2,core_cycles_per_byte,1.27718076
avx2,zen4,1240,intel-avx2,instructions_per_byte,3.21532732
avx2,zen4,1240,intel-avx2,tsc_ticks_per_byte,1.10876594
avx2,zen4,1260,ours-avx2,core_cycles_per_byte,1.34229816
avx2,zen4,1260,ours-avx2,instructions_per_byte,4.09206820
avx2,zen4,1260,ours-avx2,tsc_ticks_per_byte,1.19064130
avx2,zen4,1260,openssl-avx2,core_cycles_per_byte,1.33878234
avx2,zen4,1260,openssl-avx2,instructions_per_byte,4.08730522
avx2,zen4,1260,openssl-avx2,tsc_ticks_per_byte,1.07598037
avx2,zen4,1260,boringssl-avx2,core_cycles_per_byte,1.35268423
avx2,zen4,1260,boringssl-avx2,instructions_per_byte,4.07143450
avx2,zen4,1260,boringssl-avx2,tsc_ticks_per_byte,1.13881879
avx2,zen4,1260,intel-avx2,core_cycles_per_byte,1.26376220
avx2,zen4,1260,intel-avx2,instructions_per_byte,3.17460738
avx2,zen4,1260,intel-avx2,tsc_ticks_per_byte,1.17226407
avx2,zen4,1280,ours-avx2,core_cycles_per_byte,1.27545032
avx2,zen4,1280,ours-avx2,instructions_per_byte,3.78359873
avx2,zen4,1280,ours-avx2,tsc_ticks_per_byte,1.23761337
avx2,zen4,1280,openssl-avx2,core_cycles_per_byte,1.27333668
avx2,zen4,1280,openssl-avx2,instructions_per_byte,3.77891126
avx2,zen4,1280,openssl-avx2,tsc_ticks_per_byte,1.16517718
avx2,zen4,1280,boringssl-avx2,core_cycles_per_byte,1.27369571
avx2,zen4,1280,boringssl-avx2,instructions_per_byte,3.76328664
avx2,zen4,1280,boringssl-avx2,tsc_ticks_per_byte,1.24159979
avx2,zen4,1280,intel-avx2,core_cycles_per_byte,1.23090441
avx2,zen4,1280,intel-avx2,instructions_per_byte,3.05156780
avx2,zen4,1280,intel-avx2,tsc_ticks_per_byte,1.19941169
