algorithm,machine,size,variant,metric,value
avx2,zen5,1200,ours-avx2,core_cycles_per_byte,1.33831131
avx2,zen5,1200,ours-avx2,instructions_per_byte,5.78916801
avx2,zen5,1200,ours-avx2,tsc_ticks_per_byte,0.80828785
avx2,zen5,1200,openssl-avx2,core_cycles_per_byte,1.63221253
avx2,zen5,1200,openssl-avx2,instructions_per_byte,4.31333473
avx2,zen5,1200,openssl-avx2,tsc_ticks_per_byte,0.98487018
avx2,zen5,1200,boringssl-avx2,core_cycles_per_byte,1.63057870
avx2,zen5,1200,boringssl-avx2,instructions_per_byte,4.29666819
avx2,zen5,1200,boringssl-avx2,tsc_ticks_per_byte,0.97662798
avx2,zen5,1200,intel-avx2,core_cycles_per_byte,1.68155130
avx2,zen5,1200,intel-avx2,instructions_per_byte,3.31833473
avx2,zen5,1200,intel-avx2,tsc_ticks_per_byte,1.00489569
avx2,zen5,1220,ours-avx2,core_cycles_per_byte,1.54978837
avx2,zen5,1220,ours-avx2,instructions_per_byte,3.99672268
avx2,zen5,1220,ours-avx2,tsc_ticks_per_byte,0.93165622
avx2,zen5,1220,openssl-avx2,core_cycles_per_byte,1.54772031
avx2,zen5,1220,openssl-avx2,instructions_per_byte,3.99180462
avx2,zen5,1220,openssl-avx2,tsc_ticks_per_byte,0.92646996
avx2,zen5,1220,boringssl-avx2,core_cycles_per_byte,1.54418582
avx2,zen5,1220,boringssl-avx2,instructions_per_byte,3.97541118
avx2,zen5,1220,boringssl-avx2,tsc_ticks_per_byte,0.92462497
avx2,zen5,1220,intel-avx2,core_cycles_per_byte,1.65041757
avx2,zen5,1220,intel-avx2,instructions_per_byte,3.25737845
avx2,zen5,1220,intel-avx2,tsc_ticks_per_byte,0.98927306
avx2,zen5,1240,ours-avx2,core_cycles_per_byte,1.53252390
avx2,zen5,1240,ours-avx2,instructions_per_byte,4.04516266
avx2,zen5,1240,ours-avx2,tsc_ticks_per_byte,0.91440741
avx2,zen5,1240,openssl-avx2,core_cycles_per_byte,1.53184182
avx2,zen5,1240,openssl-avx2,instructions_per_byte,4.04032392
avx2,zen5,1240,openssl-avx2,tsc_ticks_per_byte,0.92216377
avx2,zen5,1240,boringssl-avx2,core_cycles_per_byte,1.53250435
avx2,zen5,1240,boringssl-avx2,instructions_per_byte,4.02419489
avx2,zen5,1240,boringssl-avx2,tsc_ticks_per_byte,0.91216031
avx2,zen5,1240,intel-avx2,core_cycles_per_byte,1.63059351
avx2,zen5,1240,intel-avx2,instructions_per_byte,3.21371108
avx2,zen5,1240,intel-avx2,tsc_ticks_per_byte,0.97685734
avx2,zen5,1260,ours-avx2,core_cycles_per_byte,1.54578167
