algorithm,machine,size,variant,metric,value
avx2,zen4,1200,ours-avx2,core_cycles_per_byte,1.33427455
avx2,zen4,1200,ours-avx2,instructions_per_byte,5.78917164
avx2,zen4,1200,ours-avx2,tsc_ticks_per_byte,1.03795931
avx2,zen4,1200,openssl-avx2,core_cycles_per_byte,1.42568811
avx2,zen4,1200,openssl-avx2,instructions_per_byte,4.31333864
avx2,zen4,1200,openssl-avx2,tsc_ticks_per_byte,1.32300688
avx2,zen4,1200,boringssl-avx2,core_cycles_per_byte,1.44095138
avx2,zen4,1200,boringssl-avx2,instructions_per_byte,4.29667281
avx2,zen4,1200,boringssl-avx2,tsc_ticks_per_byte,1.39331182
avx2,zen4,1200,intel-avx2,core_cycles_per_byte,1.32492836
avx2,zen4,1200,intel-avx2,instructions_per_byte,3.32000408
avx2,zen4,1200,intel-avx2,tsc_ticks_per_byte,1.11577832
avx2,zen4,1220,ours-avx2,core_cycles_per_byte,1.33711318
avx2,zen4,1220,ours-avx2,instructions_per_byte,3.99672641
avx2,zen4,1220,ours-avx2,tsc_ticks_per_byte,1.19636207
avx2,zen4,1220,openssl-avx2,core_cycles_per_byte,1.33869903
avx2,zen4,1220,openssl-avx2,instructions_per_byte,3.99180846
avx2,zen4,1220,openssl-avx2,tsc_ticks_per_byte,1.28873446
avx2,zen4,1220,boringssl-avx2,core_cycles_per_byte,1.33319730
avx2,zen4,1220,boringssl-avx2,instructions_per_byte,3.97541502
avx2,zen4,1220,boringssl-avx2,tsc_ticks_per_byte,1.23748932
avx2,zen4,1220,intel-avx2,core_cycles_per_byte,1.30535250
avx2,zen4,1220,intel-avx2,instructions_per_byte,3.25902077
avx2,zen4,1220,intel-avx2,tsc_ticks_per_byte,1.24830936
avx2,zen4,1240,ours-avx2,core_cycles_per_byte,1.33507227
avx2,zen4,1240,ours-avx2,instructions_per_byte,4.04516660
avx2,zen4,1240,ours-avx2,tsc_ticks_per_byte,1.26907774
avx2,zen4,1240,openssl-avx2,core_cycles_per_byte,1.33496960
avx2,zen4,1240,openssl-avx2,instructions_per_byte,4.04032699
avx2,zen4,1240,openssl-avx2,tsc_ticks_per_byte,1.27542081
avx2,zen4,1240,boringssl-avx2,core_cycles_per_byte,1.33476206
avx2,zen4,1240,boringssl-avx2,instructions_per_byte,4.02419772
avx2,zen4,1240,boringssl-avx2,tsc_ticks_per_byte,1.09134599
avx2,zen4,1240,intel-avx2,core_cycles_per_byte,1.28375322
avx2,zen4,1240,intel-avx2,instructions_per_byte,3.21532699
avx2,zen4,1240,intel-avx2,tsc_ticks_per_byte,1.17253868
avx2,zen4,1260,ours-avx2,core_cycles_per_byte,1.33911405
avx2,zen4,1260,ours-avx2,instructions_per_byte,4.09206752
