algorithm,machine,size,variant,metric,value
avx2,zen5,1200,ours-avx2,core_cycles_per_byte,1.33072575
avx2,zen5,1200,ours-avx2,instructions_per_byte,5.78916789
avx2,zen5,1200,ours-avx2,tsc_ticks_per_byte,0.80366891
avx2,zen5,1200,openssl-avx2,core_cycles_per_byte,1.63098738
avx2,zen5,1200,openssl-avx2,instructions_per_byte,4.31333473
avx2,zen5,1200,openssl-avx2,tsc_ticks_per_byte,0.97903393
avx2,zen5,1200,boringssl-avx2,core_cycles_per_byte,1.62950090
avx2,zen5,1200,boringssl-avx2,instructions_per_byte,4.29666819
avx2,zen5,1200,boringssl-avx2,tsc_ticks_per_byte,0.98410539
avx2,zen5,1200,intel-avx2,core_cycles_per_byte,1.67740618
avx2,zen5,1200,intel-avx2,instructions_per_byte,3.31833473
avx2,zen5,1200,intel-avx2,tsc_ticks_per_byte,1.00592781
avx2,zen5,1220,ours-avx2,core_cycles_per_byte,1.54823337
avx2,zen5,1220,ours-avx2,instructions_per_byte,3.99672277
avx2,zen5,1220,ours-avx2,tsc_ticks_per_byte,0.93767082
avx2,zen5,1220,openssl-avx2,core_cycles_per_byte,1.54727985
avx2,zen5,1220,openssl-avx2,instructions_per_byte,3.99180480
avx2,zen5,1220,openssl-avx2,tsc_ticks_per_byte,0.93709664
avx2,zen5,1220,boringssl-avx2,core_cycles_per_byte,1.54653978
avx2,zen5,1220,boringssl-avx2,instructions_per_byte,3.97541142
avx2,zen5,1220,boringssl-avx2,tsc_ticks_per_byte,0.93072946
avx2,zen5,1220,intel-avx2,core_cycles_per_byte,1.64918760
avx2,zen5,1220,intel-avx2,instructions_per_byte,3.25737848
avx2,zen5,1220,intel-avx2,tsc_ticks_per_byte,0.99308546
avx2,zen5,1240,ours-avx2,core_cycles_per_byte,1.53281206
avx2,zen5,1240,ours-avx2,instructions_per_byte,4.04516263
avx2,zen5,1240,ours-avx2,tsc_ticks_per_byte,0.91878615
avx2,zen5,1240,openssl-avx2,core_cycles_per_byte,1.53030401
avx2,zen5,1240,openssl-avx2,instructions_per_byte,4.04032389
avx2,zen5,1240,openssl-avx2,tsc_ticks_per_byte,0.91746579
avx2,zen5,1240,boringssl-avx2,core_cycles_per_byte,1.52900016
avx2,zen5,1240,boringssl-avx2,instructions_per_byte,4.02419489
avx2,zen5,1240,boringssl-avx2,tsc_ticks_per_byte,0.91545192
avx2,zen5,1240,intel-avx2,core_cycles_per_byte,1.62464300
avx2,zen5,1240,intel-avx2,instructions_per_byte,3.21371102
avx2,zen5,1240,intel-avx2,tsc_ticks_per_byte,0.97664968
avx2,zen5,1260,ours-avx2,core_cycles_per_byte,1.54877144
avx2,zen5,1260,ours-avx2,instructions_per_byte,4.09206483
avx2,zen5,1260,ours-avx2,tsc_ticks_per_byte,0.92898754
avx2,zen5,1260,openssl-avx2,core_cycles_per_byte,1.54697772
avx2,zen5,1260,openssl-avx2,instructions_per_byte,4.08730296
avx2,zen5,1260,openssl-avx2,tsc_ticks_per_byte,0.93190417
avx2,zen5,1260,boringssl-avx2,core_cycles_per_byte,1.54440534
avx2,zen5,1260,boringssl-avx2,instructions_per_byte,4.07142991
avx2,zen5,1260,boringssl-avx2,tsc_ticks_per_byte,0.92189588
avx2,zen5,1260,intel-avx2,core_cycles_per_byte,1.60338212
avx2,zen5,1260,intel-avx2,instructions_per_byte,3.17301739
avx2,zen5,1260,intel-avx2,tsc_ticks_per_byte,0.95952458
avx2,zen5,1280,ours-avx2,core_cycles_per_byte,1.47977974
avx2,zen5,1280,ours-avx2,instructions_per_byte,3.78359503
avx2,zen5,1280,ours-avx2,tsc_ticks_per_byte,0.88247716
avx2,zen5,1280,openssl-avx2,core_cycles_per_byte,1.48012444
avx2,zen5,1280,openssl-avx2,instructions_per_byte,3.77890753
avx2,zen5,1280,openssl-avx2,tsc_ticks_per_byte,0.88177822
avx2,zen5,1280,boringssl-avx2,core_cycles_per_byte,1.47941710
avx2,zen5,1280,boringssl-avx2,instructions_per_byte,3.76328259
avx2,zen5,1280,boringssl-avx2,tsc_ticks_per_byte,0.88531474
avx2,zen5,1280,intel-avx2,core_cycles_per_byte,1.56906722
avx2,zen5,1280,intel-avx2,instructions_per_byte,3.05000140
avx2,zen5,1280,intel-avx2,tsc_ticks_per_byte,0.93129721
avx2,zen5,1300,ours-avx2,core_cycles_per_byte,1.45997392
avx2,zen5,1300,ours-avx2,instructions_per_byte,3.83846282
avx2,zen5,1300,ours-avx2,tsc_ticks_per_byte,0.86971989
avx2,zen5,1300,openssl-avx2,core_cycles_per_byte,1.46087884
avx2,zen5,1300,openssl-avx2,instructions_per_byte,3.83384749
avx2,zen5,1300,openssl-avx2,tsc_ticks_per_byte,0.87187323
avx2,zen5,1300,boringssl-avx2,core_cycles_per_byte,1.46086549
avx2,zen5,1300,boringssl-avx2,instructions_per_byte,3.81846282
avx2,zen5,1300,boringssl-avx2,tsc_ticks_per_byte,0.86998489
avx2,zen5,1300,intel-avx2,core_cycles_per_byte,1.61774646
avx2,zen5,1300,intel-avx2,instructions_per_byte,3.55615519
avx2,zen5,1300,intel-avx2,tsc_ticks_per_byte,0.96341172
avx2,zen5,1330,ours-avx2,core_cycles_per_byte,1.47202100
avx2,zen5,1330,ours-avx2,instructions_per_byte,3.90977578
avx2,zen5,1330,ours-avx2,tsc_ticks_per_byte,0.88174573
avx2,zen5,1330,openssl-avx2,core_cycles_per_byte,1.47025885
avx2,zen5,1330,openssl-avx2,instructions_per_byte,3.90526444
avx2,zen5,1330,openssl-avx2,tsc_ticks_per_byte,0.87800534
avx2,zen5,1330,boringssl-avx2,core_cycles_per_byte,1.47700991
avx2,zen5,1330,boringssl-avx2,instructions_per_byte,3.89022688
avx2,zen5,1330,boringssl-avx2,tsc_ticks_per_byte,0.88331255
avx2,zen5,1330,intel-avx2,core_cycles_per_byte,1.58681060
avx2,zen5,1330,intel-avx2,instructions_per_byte,3.47744501
avx2,zen5,1330,intel-avx2,tsc_ticks_per_byte,0.94546553
avx2,zen5,1350,ours-avx2,core_cycles_per_byte,1.40540543
avx2,zen5,1350,ours-avx2,instructions_per_byte,3.62518641
avx2,zen5,1350,ours-avx2,tsc_ticks_per_byte,0.83564961
avx2,zen5,1350,openssl-avx2,core_cycles_per_byte,1.40601274
avx2,zen5,1350,openssl-avx2,instructions_per_byte,3.62074205
avx2,zen5,1350,openssl-avx2,tsc_ticks_per_byte,0.83928760
avx2,zen5,1350,boringssl-avx2,core_cycles_per_byte,1.40498086
avx2,zen5,1350,boringssl-avx2,instructions_per_byte,3.60592721
avx2,zen5,1350,boringssl-avx2,tsc_ticks_per_byte,0.83743258
avx2,zen5,1350,intel-avx2,core_cycles_per_byte,1.56718022
avx2,zen5,1350,intel-avx2,instructions_per_byte,3.43407553
avx2,zen5,1350,intel-avx2,tsc_ticks_per_byte,0.95139346
avx2,zen5,1360,ours-avx2,core_cycles_per_byte,1.39700870
avx2,zen5,1360,ours-avx2,instructions_per_byte,3.65000128
avx2,zen5,1360,ours-avx2,tsc_ticks_per_byte,0.84148564
avx2,zen5,1360,openssl-avx2,core_cycles_per_byte,1.39682705
avx2,zen5,1360,openssl-avx2,instructions_per_byte,3.64558949
avx2,zen5,1360,openssl-avx2,tsc_ticks_per_byte,0.84201333
avx2,zen5,1360,boringssl-avx2,core_cycles_per_byte,1.39792889
avx2,zen5,1360,boringssl-avx2,instructions_per_byte,3.63088372
avx2,zen5,1360,boringssl-avx2,tsc_ticks_per_byte,0.84202728
avx2,zen5,1360,intel-avx2,core_cycles_per_byte,1.55223929
avx2,zen5,1360,intel-avx2,instructions_per_byte,3.41250140
avx2,zen5,1360,intel-avx2,tsc_ticks_per_byte,0.93504062
avx2,zen5,1370,ours-avx2,core_cycles_per_byte,1.39223217
avx2,zen5,1370,ours-avx2,instructions_per_byte,3.67445384
avx2,zen5,1370,ours-avx2,tsc_ticks_per_byte,0.83685666
avx2,zen5,1370,openssl-avx2,core_cycles_per_byte,1.39175506
avx2,zen5,1370,openssl-avx2,instructions_per_byte,3.67007439
avx2,zen5,1370,openssl-avx2,tsc_ticks_per_byte,0.83974770
avx2,zen5,1370,boringssl-avx2,core_cycles_per_byte,1.39037657
avx2,zen5,1370,boringssl-avx2,instructions_per_byte,3.65547579
avx2,zen5,1370,boringssl-avx2,tsc_ticks_per_byte,0.83288313
avx2,zen5,1370,intel-avx2,core_cycles_per_byte,1.53903670
avx2,zen5,1370,intel-avx2,instructions_per_byte,3.39197208
avx2,zen5,1370,intel-avx2,tsc_ticks_per_byte,0.92409147
avx2,zen5,1380,ours-avx2,core_cycles_per_byte,1.40825984
avx2,zen5,1380,ours-avx2,instructions_per_byte,3.69855201
avx2,zen5,1380,ours-avx2,tsc_ticks_per_byte,0.84491252
avx2,zen5,1380,openssl-avx2,core_cycles_per_byte,1.40778719
avx2,zen5,1380,openssl-avx2,instructions_per_byte,3.69420412
avx2,zen5,1380,openssl-avx2,tsc_ticks_per_byte,0.83902571
avx2,zen5,1380,boringssl-avx2,core_cycles_per_byte,1.40598886
avx2,zen5,1380,boringssl-avx2,instructions_per_byte,3.67971149
avx2,zen5,1380,boringssl-avx2,tsc_ticks_per_byte,0.84149449
avx2,zen5,1380,intel-avx2,core_cycles_per_byte,1.53047153
avx2,zen5,1380,intel-avx2,instructions_per_byte,3.35869708
avx2,zen5,1380,intel-avx2,tsc_ticks_per_byte,0.92796558
avx2,zen5,1390,ours-avx2,core_cycles_per_byte,1.40473028
avx2,zen5,1390,ours-avx2,instructions_per_byte,3.72230344
avx2,zen5,1390,ours-avx2,tsc_ticks_per_byte,0.84298349
