algorithm,machine,size,variant,metric,value
avx2,zen4,1200,ours-avx2,core_cycles_per_byte,1.30365287
avx2,zen4,1200,ours-avx2,instructions_per_byte,5.78917132
avx2,zen4,1200,ours-avx2,tsc_ticks_per_byte,1.04154817
avx2,zen4,1200,openssl-avx2,core_cycles_per_byte,1.42231961
avx2,zen4,1200,openssl-avx2,instructions_per_byte,4.31333792
avx2,zen4,1200,openssl-avx2,tsc_ticks_per_byte,1.20947482
avx2,zen4,1200,boringssl-avx2,core_cycles_per_byte,1.43022528
avx2,zen4,1200,boringssl-avx2,instructions_per_byte,4.29667146
avx2,zen4,1200,boringssl-avx2,tsc_ticks_per_byte,1.34666232
avx2,zen4,1200,intel-avx2,core_cycles_per_byte,1.32695739
avx2,zen4,1200,intel-avx2,instructions_per_byte,3.32000519
avx2,zen4,1200,intel-avx2,tsc_ticks_per_byte,1.25604958
avx2,zen4,1220,ours-avx2,core_cycles_per_byte,1.33711190
avx2,zen4,1220,ours-avx2,instructions_per_byte,3.99672617
avx2,zen4,1220,ours-avx2,tsc_ticks_per_byte,1.13090047
avx2,zen4,1220,openssl-avx2,core_cycles_per_byte,1.34124921
avx2,zen4,1220,openssl-avx2,instructions_per_byte,3.99180811
avx2,zen4,1220,openssl-avx2,tsc_ticks_per_byte,1.24122662
avx2,zen4,1220,boringssl-avx2,core_cycles_per_byte,1.33887966
avx2,zen4,1220,boringssl-avx2,instructions_per_byte,3.97541392
avx2,zen4,1220,boringssl-avx2,tsc_ticks_per_byte,1.08358742
avx2,zen4,1220,intel-avx2,core_cycles_per_byte,1.30659073
avx2,zen4,1220,intel-avx2,instructions_per_byte,3.25902054
avx2,zen4,1220,intel-avx2,tsc_ticks_per_byte,1.18168808
avx2,zen4,1240,ours-avx2,core_cycles_per_byte,1.33336954
avx2,zen4,1240,ours-avx2,instructions_per_byte,4.04516657
avx2,zen4,1240,ours-avx2,tsc_ticks_per_byte,1.27417394
avx2,zen4,1240,openssl-avx2,core_cycles_per_byte,1.34079382
avx2,zen4,1240,openssl-avx2,instructions_per_byte,4.04032660
avx2,zen4,1240,openssl-avx2,tsc_ticks_per_byte,1.23914718
avx2,zen4,1240,boringssl-avx2,core_cycles_per_byte,1.33857929
avx2,zen4,1240,boringssl-avx2,instructions_per_byte,4.02419814
avx2,zen4,1240,boringssl-avx2,tsc_ticks_per_byte,1.16930316
avx2,zen4,1240,intel-avx2,core_cycles_per_byte,1.28634212
avx2,zen4,1240,intel-avx2,instructions_per_byte,3.21532666
avx2,zen4,1240,intel-avx2,tsc_ticks_per_byte,1.12401944
avx2,zen4,1260,ours-avx2,core_cycles_per_byte,1.33862388
avx2,zen4,1260,ours-avx2,instructions_per_byte,4.09206823
avx2,zen4,1260,ours-avx2,tsc_ticks_per_byte,1.16770005
avx2,zen4,1260,openssl-avx2,core_cycles_per_byte,1.34609979
avx2,zen4,1260,openssl-avx2,instructions_per_byte,4.08730695
avx2,zen4,1260,openssl-avx2,tsc_ticks_per_byte,1.27472221
avx2,zen4,1260,boringssl-avx2,core_cycles_per_byte,1.35973881
avx2,zen4,1260,boringssl-avx2,instructions_per_byte,4.07143420
avx2,zen4,1260,boringssl-avx2,tsc_ticks_per_byte,1.31081529
avx2,zen4,1260,intel-avx2,core_cycles_per_byte,1.26841595
avx2,zen4,1260,intel-avx2,instructions_per_byte,3.17460806
avx2,zen4,1260,intel-avx2,tsc_ticks_per_byte,1.21370146
avx2,zen4,1280,ours-avx2,core_cycles_per_byte,1.27385373
avx2,zen4,1280,ours-avx2,instructions_per_byte,3.78359840
avx2,zen4,1280,ours-avx2,tsc_ticks_per_byte,1.08188820
avx2,zen4,1280,openssl-avx2,core_cycles_per_byte,1.28145629
avx2,zen4,1280,openssl-avx2,instructions_per_byte,3.77891197
